84,94,87
38,98,60
25,22,10
5,86,43
41,45,18
20,75,79
61,13,25
66,42,25
54,69,61
1,97,4
75,94,14
9,79,70
27,25,53
94,50,81
67,99,15
7,87,29
74,3,30
11,52,27
34,99,14
89,97,50
74,96,68
87,19,19
16,10,1
90,21,4
21,65,36
20,21,69
37,29,49
98,37,84
42,87,38
18,34,86
17,80,10
20,68,77
41,41,33
67,76,83
71,21,12
9,2,71
69,8,85
53,4,31
82,2,46
20,88,36
72,31,66
27,79,11
83,53,93
26,65,11
95,38,59
60,59,77
75,96,18
93,56,16
45,74,36
41,75,73
14,57,36
30,24,12
77,31,93
60,57,98
41,15,45
23,30,6
47,35,92
9,87,40
94,59,62
55,74,11
14,86,92
63,63,1
91,83,6
47,53,86
88,24,41
74,50,34
54,56,61
49,46,75
29,33,60
15,16,94
60,54,50
21,97,65
20,87,100
49,21,14
84,39,45
29,94,98
72,62,12
24,67,98
13,65,53
59,36,99
57,53,37
45,97,10
19,58,6
84,39,22
71,76,80
42,48,59
5,75,31
67,79,85
100,81,4
16,25,6
51,77,59
10,93,67
38,81,33
10,23,30
86,86,81
30,90,84
2,88,56
61,61,65
66,68,10
45,75,82
43,63,65
